strata_main,n_muni,hosp,wage,pop,pct_black,literacy,sort_order
Target (LI-HD),312,1012.381392802208,682.471313614526,16165.82692307692,67.32785,80.54679487179486,1
Reference (LI-LD),444,376.8656808536992,685.5878554489844,11568.44594594595,70.036972,79.40472972972971,2
Placebo (HI-HD),332,1014.360002651764,1225.733668063725,23725.62951807229,33.121223,91.16174698795182,3
Placebo (HI-LD),266,395.1631196412193,1402.084111741443,114653.3947368421,47.097305,91.18909774436089,4
Middle,4211,658.4689361394712,925.8907041273291,33768.92875801472,50.219986,86.52102137767233,5
