municipality_code,state_code,year,total_hospitalizations,total_deaths,population,avg_wage_nominal,literacy_rate,pct_black_parda
170307,17,2008,201,17,3684,747.0689999999998,82.5,0.7790979631425801
170330,17,2008,386,20,2793,544.3669801980203,88.1,0.790130007959671
170360,17,2008,127,10,2183,691.2016734693877,87,0.7907990314769976
170370,17,2008,519,22,5452,701.6331156716428,86.1,0.868684920940995
170386,17,2008,147,18,3672,807.06751004016,89,0.7537929198828853
170389,17,2008,303,17,3411,640.6986301369863,75.5,0.8286798590403903
170510,17,2008,166,18,3791,639.1016494845369,84.5,0.8767541183648566
170600,17,2008,220,17,5035,778.131606425703,86.1,0.6974051896207585
170650,17,2008,349,28,5288,585.4626005361933,84.1,0.7633674630261661
170700,17,2008,1508,94,19158,906.6575981787147,89.1,0.7980955370690106
170730,17,2008,349,28,4617,679.2691964285708,90.8,0.7692140213368169
170755,17,2008,292,21,4101,603.20900990099,88.1,0.733315817130846
170765,17,2008,412,15,4950,689.8167716535431,86.5,0.7124134057292641
170820,17,2008,1431,98,18743,900.6232204330935,89.6,0.6873779031907966
170825,17,2008,161,10,2160,745.6374229691875,86.5,0.7640495867768595
170830,17,2008,174,14,5376,648.3906504065035,86.9,0.7060722211014727
170930,17,2008,2216,113,22314,837.9524659498214,90.6,0.7163053316667385
170950,17,2008,5103,392,73548,903.5301435531588,94.4,0.6844285788733129
170980,17,2008,134,3,1754,571.065317460318,87.1,0.8719512195121951
171050,17,2008,499,36,6565,660.1002419354841,83.8,0.6320900774102745
171090,17,2008,148,11,3521,717.5520000000006,85.8,0.7429946221341636
171150,17,2008,196,19,3906,750.9693771626299,89.5,0.7115165336374002
171180,17,2008,124,13,2200,614.9025203252037,88.6,0.7665770609318996
171190,17,2008,422,42,8481,792.4334559643266,86.3,0.6231515032807756
171240,17,2008,126,14,3737,673.2177142857147,80.1,0.8792270531400966
171250,17,2008,161,7,4616,666.4065975103725,86.2,0.6940041350792557
171270,17,2008,101,2,1788,729.7667804878056,77.9,0.8367805755395683
171370,17,2008,100,6,1911,595.2134131736535,87.7,0.6366251198465963
171395,17,2008,173,8,2935,551.3330747126445,81.1,0.764034253092293
171420,17,2008,620,53,9355,692.753215999997,84.6,0.8263526274858349
171430,17,2008,384,15,4652,549.5758659217878,82.3,0.8199224982904034
171500,17,2008,135,12,3888,649.3629946524072,87.1,0.7846725006629541
171525,17,2008,141,8,2492,861.89359375000015,84.3,0.8429617575264443
171570,17,2008,226,11,4837,709.8441150442446,84.1,0.8141271442986882
171575,17,2008,508,35,8366,698.9549185667748,89,0.7356948228882834
171610,17,2008,2861,209,41500,730.7225875924172,94.3,0.6417443378810392
171620,17,2008,617,45,10794,776.5518425460629,79.8,0.8851919914885386
171650,17,2008,1474,59,10605,930.1209727272708,90.9,0.7303292894280763
171665,17,2008,275,29,4940,695.3941721854312,84.9,0.6949554896142434
171700,17,2008,182,9,4521,621.5274444444453,86.8,0.7441757266474374
171750,17,2008,636,21,6598,674.0244223107567,83.9,0.6554144884241971
171780,17,2008,171,18,4660,623.1641304347845,79.9,0.8638063806380638
171820,17,2008,6003,250,46598,816.8690356142497,92.3,0.7470649276659816
171845,17,2008,85,10,2230,605.2227391304356,90.5,0.6978902953586498
171855,17,2008,186,11,3798,533.4253017241388,82.5,0.8110687022900763
171865,17,2008,123,8,1499,657.9240677966114,86.8,0.8396501457725948
171884,17,2008,178,13,3543,727.823639344262,86.6,0.6558461076044485
171886,17,2008,364,25,5773,649.5850513698623,83.9,0.6822727272727273
171888,17,2008,239,15,2755,725.1045454545459,85.7,0.7081174438687392
171889,17,2008,104,7,2330,653.6768983957219,90.5,0.7670267731329262
171890,17,2008,313,19,4545,672.2374324324322,85.5,0.9050120376449989
171900,17,2008,135,7,2366,574.8757065217393,88.7,0.8169572107765452
172000,17,2008,115,9,2356,935.7724897959173,81.9,0.7426262626262626
172020,17,2008,302,43,10536,593.0470880361185,77.9,0.7836290784201488
172065,17,2008,454,42,5250,640.7795511221954,85.6,0.8682185835470507
172080,17,2008,344,44,9568,585.4157009345791,77.7,0.780194556782162
172085,17,2008,77,4,1718,604.3104471544714,88.8,0.7194492254733219
172090,17,2008,969,88,14528,855.1252795031033,85.2,0.8124501727345204
172093,17,2008,93,7,1974,632.8852976190477,77.3,0.8910585817060637
172100,17,2008,12221,605,184014,1546.4934919089274,96.7,0.6495819701926572
172125,17,2008,181,6,1448,618.138258928572,86.7,0.7384126984126984
172208,17,2008,589,54,9574,515.355062166963,84.8,0.7987616099071208
210015,21,2008,538,39,12213,550.1112820512822,74.2,0.7688654809186669
210030,21,2008,1278,76,22328,782.7519181946393,66.6,0.8461153091470797
210040,21,2008,168,30,7607,529.3190598290613,72.8,0.7939262472885033
210087,21,2008,103,30,10221,571.15,77.1,0.8173751252325748
210100,21,2008,1679,121,28585,483.7840962441247,82.4,0.6535504931728036
210110,21,2008,576,33,14743,410.6029315960912,87.7,0.8454593267882188
210125,21,2008,409,68,15115,812.1360626398215,85.7,0.7462146589843227
210160,21,2008,4706,384,81027,684.5404636739554,77.7,0.7110502106699182
210177,21,2008,303,27,8850,586.0486956521739,74.7,0.7332780082987552
210190,21,2008,830,71,21356,694.7947916666666,79.1,0.620791349225854
210193,21,2008,137,25,6160,625.6752046783636,77.2,0.6881774220443555
210197,21,2008,258,19,7643,565.1285714285709,81.1,0.8573584905660377
210200,21,2008,2107,128,38813,544.861340659338,73.5,0.7920358514724712
210203,21,2008,928,74,24661,722.743840078975,77.5,0.819852424455376
210210,21,2008,2003,122,32018,583.8735792622138,76.5,0.8051558752997602
